title,sentiment_score,total score
"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",0.3349133333333334,30
"The Golden Spiders (Nero Wolfe, #22)",0.1779,1
The Harrowing,0.9915,2
The House of Memory (Pluto's Snitch #2),0.431,2
The Innocent Man: Murder and Injustice in a Small Town,-0.25648181818181814,11
"The Japanese Tsunami, 2011 (I Survived, #8)",-0.9314,1
The Kindling (Middle School Magic #1),0.992,1
The Last Juror,0.2821444444444445,9
"The Lawyer's Luck (Home to Milford College, #0.5)",0.3818,1
The Little Friend,0.12833333333333335,18
The Little Prince & Letter to a Hostage,0.4884,2
The Long Drop,0.10396666666666665,3
The Magic Circle,0.991,1
The Medicine Man: Book 2,0.7206,1
The Memory Garden,0.0,1
"The Misadventures of the Family Fletcher (Family Fletcher, #1)",0.7992444444444443,9
The Missing Ones,0.9916499999999999,2
The Mistress Mistake,0.5994,1
"The Name of the Wind (The Kingkiller Chronicle, #1)",0.6928757575757575,66
"The One That Got Away (includes: Effingtons, #8.5)",0.7501,1
The Ones We Trust,0.712,2
The Paris Wife,0.46557142857142875,49
The Perfect Girl,0.0,1
The Purple Morrow,0.98,1
The Redeemer,0.7181,1
"The Riven Kingdom (Godspeaker Trilogy, #2)",0.9480999999999999,2
"The Scar-Crow Men (Swords of Albion, #2)",0.9881,1
The Secret Chicken Society,0.9485,1
The Secret Garden,0.27399999999999997,3
The Sheik's Dangerous Lover,-0.8271,1
The Snow Queen,0.9837666666666666,3
The Song Is You,0.9246,1
"The Space Between (The Walshes, #2)",0.9399,1
The Story of Growl,-0.17075000000000004,2
The Sudden Visibility of Sound,0.4211,1
The Thing About the Truth,0.606225,4
The Third Twin,-0.1273666666666667,3
The True Blue Scouts of Sugar Man Swamp,0.8012333333333334,3
"The Untamed Earl (Playful Brides, #5)",0.9843,1
"The Unwritten Series (Unwritten, #1-2)",0.9972,1
The Very Hairy Bear.,0.0049,1
The Very Hungry Zombie: A Parody,0.7637,2
"The Vile Village (A Series of Unfortunate Events, #7)",0.7406,1
"The Warlord of Mars (Barsoom, #3)",0.7483666666666666,3
"The Werewolf's Kiss (Voodoo Moon, #1)",0.1531,1
"The Werewolf's Sin (Voodoo Moon, #3)",0.8858,1
The Year of the Book (Anna Wang #1),0.7626333333333334,6
"The shape of water (Inspector Montalbano, #1).",0.4417,1
There Will Be Lies,0.06189999999999999,3
There's Someone Inside Your House,-0.1174888888888889,9
This Lullaby,0.575695,20
This is What Goodbye Looks Like,0.0,1
Three Sides of a Heart: Stories about Love Triangles,0.7843,1
"Throne of Glass (Throne of Glass, #1)",0.8852714285714286,7
"Throne of Jade (Temeraire, #2)",0.4957,4
Too Busy for Love,0.9397666666666668,3
"Two Girls (Two Girls, #1)",0.6941,1
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",0.36296274509803905,102
"Undercover Boyfriend (One Fine Day, #1)",0.9969,1
Unhooked,0.13498,10
"Unmasked: Volume One (Unmasked, #1)",0.631,1
"Unmasked: Volume Two (Unmasked, #2)",0.0,1
"Valentine Wedding Hound (Have a Hart, #5)",0.9862,1
Vampire Love Story Boxed Set (Five Novels),0.9954,1
"Vampires Rule (Rule, #1)",0.9402,1
WOOF,0.9902,1
"Warhost of Vastmark (Wars of Light & Shadow, #3; Arc 2 - The Ships of Merior, #2)",0.9568,1
What He Wants,0.9413,1
Where The Lost Aprils Are,0.9945,1
Wicked Love (Wicked White #3),0.9497,1
Wishtree,0.8161222222222223,9
Worth the Wait (Guthrie Brothers #2),0.995,2
You Hold Me Up,0.9229999999999999,1
You Will Know Me,0.5686812499999998,16
Z Is for Moose,0.5177111111111111,9
rock,0.7692874999999999,8
